Trial,Eccentricity (degrees),Reaction Time (s),Direction,Color,Correctness,1/2/3 Colors,Name,Attention,Circle Size (degrees)
1,0,0.2719928,0,"[0, 0, 255]",1,1,B,Covert,4
2,0,0.258193,0,"[0, 0, 255]",1,1,B,Covert,4
3,0,0.1571296,0,"[0, 0, 255]",1,1,B,Covert,4
4,0,0.1821616,0,"[0, 0, 255]",1,1,B,Covert,4
5,0,0.2640952,2,"[0, 0, 255]",1,1,B,Covert,4
6,0,0.2447225,2,"[0, 0, 255]",1,1,B,Covert,4
7,0,0.2442518,2,"[0, 0, 255]",1,1,B,Covert,4
8,0,0.1854156,2,"[0, 0, 255]",1,1,B,Covert,4
9,5,0.2691833,0,"[0, 0, 255]",1,1,B,Covert,4
10,5,0.2763104,0,"[0, 0, 255]",1,1,B,Covert,4
11,5,0.2589816,0,"[0, 0, 255]",1,1,B,Covert,4
12,5,0.129018,0,"[0, 0, 255]",1,1,B,Covert,4
13,5,0.3440857,2,"[0, 0, 255]",1,1,B,Covert,4
14,5,0.2286811,2,"[0, 0, 255]",1,1,B,Covert,4
15,5,0.2134277,2,"[0, 0, 255]",1,1,B,Covert,4
16,5,0.2370374,2,"[0, 0, 255]",1,1,B,Covert,4
17,10,0.2813805,0,"[0, 0, 255]",1,1,B,Covert,4
18,10,0.247349,0,"[0, 0, 255]",1,1,B,Covert,4
19,10,0.2559871,0,"[0, 0, 255]",1,1,B,Covert,4
20,10,0.2046777,0,"[0, 0, 255]",1,1,B,Covert,4
21,10,0.3535644,2,"[0, 0, 255]",1,1,B,Covert,4
22,10,0.2377424,2,"[0, 0, 255]",1,1,B,Covert,4
23,10,0.2161202,2,"[0, 0, 255]",1,1,B,Covert,4
24,10,0.2294868,2,"[0, 0, 255]",1,1,B,Covert,4
25,15,0.4342618,0,"[0, 0, 255]",1,1,B,Covert,4
26,15,0.2641117,0,"[0, 0, 255]",1,1,B,Covert,4
27,15,0.2578577,0,"[0, 0, 255]",1,1,B,Covert,4
28,15,0.0314437,0,"[0, 0, 255]",1,1,B,Covert,4
29,15,0.3772604,2,"[0, 0, 255]",1,1,B,Covert,4
30,15,0.3192551,2,"[0, 0, 255]",1,1,B,Covert,4
31,15,0.2223658,2,"[0, 0, 255]",1,1,B,Covert,4
32,15,0.1556616,2,"[0, 0, 255]",1,1,B,Covert,4
33,20,0.3203899,0,"[0, 0, 255]",1,1,B,Covert,4
34,20,0.3118278,0,"[0, 0, 255]",1,1,B,Covert,4
35,20,0.2388523,0,"[0, 0, 255]",1,1,B,Covert,4
36,20,0.2462774,0,"[0, 0, 255]",1,1,B,Covert,4
37,20,0.3249011,2,"[0, 0, 255]",1,1,B,Covert,4
38,20,0.2638952,2,"[0, 0, 255]",1,1,B,Covert,4
39,20,0.2278199,2,"[0, 0, 255]",1,1,B,Covert,4
40,20,0.1809178,2,"[0, 0, 255]",1,1,B,Covert,4
41,25,0.3007634,0,"[0, 0, 255]",1,1,B,Covert,4
42,25,0.3365424,0,"[0, 0, 255]",1,1,B,Covert,4
43,25,0.2783716,0,"[0, 0, 255]",1,1,B,Covert,4
44,25,0.2057062,0,"[0, 0, 255]",1,1,B,Covert,4
45,25,0.3075727,2,"[0, 0, 255]",1,1,B,Covert,4
46,25,0.3106291,2,"[0, 0, 255]",1,1,B,Covert,4
47,25,0.2252713,2,"[0, 0, 255]",1,1,B,Covert,4
48,25,0.1888365,2,"[0, 0, 255]",1,1,B,Covert,4
49,30,0.2251031,0,"[0, 0, 255]",1,1,B,Covert,4
50,30,0.2359629,0,"[0, 0, 255]",1,1,B,Covert,4
51,30,0.2574173,0,"[0, 0, 255]",1,1,B,Covert,4
52,30,0.2139514,0,"[0, 0, 255]",1,1,B,Covert,4
53,30,0.65517,2,"[0, 0, 255]",1,1,B,Covert,4
54,30,0.2662477,2,"[0, 0, 255]",1,1,B,Covert,4
55,30,0.254897,2,"[0, 0, 255]",1,1,B,Covert,4
56,30,0.2710493,2,"[0, 0, 255]",1,1,B,Covert,4
57,35,0.2972489,0,"[0, 0, 255]",1,1,B,Covert,4
58,35,0.309374,0,"[0, 0, 255]",1,1,B,Covert,4
59,35,0.2176102,0,"[0, 0, 255]",1,1,B,Covert,4
60,35,0.20922,0,"[0, 0, 255]",1,1,B,Covert,4
61,35,0.4316654,2,"[0, 0, 255]",1,1,B,Covert,4
62,35,0.2652709,2,"[0, 0, 255]",1,1,B,Covert,4
63,35,0.2528743,2,"[0, 0, 255]",1,1,B,Covert,4
64,35,0.217654,2,"[0, 0, 255]",1,1,B,Covert,4
65,40,0.2842081,0,"[0, 0, 255]",1,1,B,Covert,4
