Trial,Eccentricity (degrees),Reaction Time (s),Direction,Color,Correctness,1/2/3 Colors,Name,Attention,Circle Size (degrees)
1,0,0.4121392,2,"[0, 0, 255]",1,1,B,Overt,4
2,0,0.3250736,2,"[0, 0, 255]",1,1,B,Overt,4
3,0,0.397906,0,"[0, 0, 255]",1,1,B,Overt,4
4,0,0.3000693,0,"[0, 0, 255]",1,1,B,Overt,4
5,0,0.1877352,0,"[0, 0, 255]",1,1,B,Overt,4
6,0,0.1926843,0,"[0, 0, 255]",1,1,B,Overt,4
7,0,0.119985,2,"[0, 0, 255]",1,1,B,Overt,4
8,0,0.0466715,2,"[0, 0, 255]",1,1,B,Overt,4
9,0,0.2394836,2,"[0, 0, 255]",1,1,B,Overt,4
10,0,0.3169246,0,"[0, 0, 255]",1,1,B,Overt,4
11,0,0.2807123,2,"[0, 0, 255]",1,1,B,Overt,4
12,0,0.2092752,0,"[0, 0, 255]",1,1,B,Overt,4
13,0,0.3232441,0,"[0, 0, 255]",1,1,B,Overt,4
14,0,0.2163902,2,"[0, 0, 255]",1,1,B,Overt,4
15,0,0.2055485,0,"[0, 0, 255]",1,1,B,Overt,4
16,0,0.2732849,2,"[0, 0, 255]",1,1,B,Overt,4
17,5,0.5855189,2,"[0, 0, 255]",1,1,B,Overt,4
18,5,0.2544742,2,"[0, 0, 255]",1,1,B,Overt,4
19,5,0.3657604,0,"[0, 0, 255]",1,1,B,Overt,4
20,5,0.2405621,0,"[0, 0, 255]",1,1,B,Overt,4
21,5,0.2082415,2,"[0, 0, 255]",1,1,B,Overt,4
22,5,0.2626526,0,"[0, 0, 255]",1,1,B,Overt,4
23,5,0.2783888,0,"[0, 0, 255]",1,1,B,Overt,4
24,5,0.1045463,2,"[0, 0, 255]",1,1,B,Overt,4
25,5,0.2428249,0,"[0, 0, 255]",1,1,B,Overt,4
26,5,0.3498873,2,"[0, 0, 255]",1,1,B,Overt,4
27,5,0.3196644,2,"[0, 0, 255]",1,1,B,Overt,4
28,5,0.2308238,0,"[0, 0, 255]",1,1,B,Overt,4
29,5,0.2711002,0,"[0, 0, 255]",1,1,B,Overt,4
30,5,0.2099846,2,"[0, 0, 255]",1,1,B,Overt,4
31,5,0.1821248,0,"[0, 0, 255]",1,1,B,Overt,4
32,5,0.2282361,2,"[0, 0, 255]",1,1,B,Overt,4
33,10,0.3368013,0,"[0, 0, 255]",1,1,B,Overt,4
34,10,0.2552818,2,"[0, 0, 255]",1,1,B,Overt,4
35,10,0.3104315,0,"[0, 0, 255]",1,1,B,Overt,4
36,10,0.3313963,0,"[0, 0, 255]",1,1,B,Overt,4
37,10,0.2039674,0,"[0, 0, 255]",1,1,B,Overt,4
38,10,0.293195,2,"[0, 0, 255]",1,1,B,Overt,4
39,10,0.2267631,2,"[0, 0, 255]",1,1,B,Overt,4
40,10,0.1484981,2,"[0, 0, 255]",1,1,B,Overt,4
41,10,0.322621,0,"[0, 0, 255]",1,1,B,Overt,4
42,10,0.254065,2,"[0, 0, 255]",1,1,B,Overt,4
43,10,0.2455099,0,"[0, 0, 255]",1,1,B,Overt,4
44,10,0.2859736,2,"[0, 0, 255]",1,1,B,Overt,4
45,10,0.2047411,2,"[0, 0, 255]",1,1,B,Overt,4
46,10,0.2119232,0,"[0, 0, 255]",1,1,B,Overt,4
47,10,0.1830816,0,"[0, 0, 255]",1,1,B,Overt,4
48,15,0.4980918,0,"[0, 0, 255]",1,1,B,Overt,4
49,15,0.4321907,2,"[0, 0, 255]",1,1,B,Overt,4
50,15,0.2678057,0,"[0, 0, 255]",1,1,B,Overt,4
51,15,0.3928375,0,"[0, 0, 255]",1,1,B,Overt,4
52,15,0.2851662,2,"[0, 0, 255]",1,1,B,Overt,4
53,15,0.2061156,2,"[0, 0, 255]",1,1,B,Overt,4
54,15,0.2834105,0,"[0, 0, 255]",1,1,B,Overt,4
55,15,0.1812222,2,"[0, 0, 255]",1,1,B,Overt,4
56,15,0.4586165,2,"[0, 0, 255]",1,1,B,Overt,4
57,15,0.3456735,0,"[0, 0, 255]",1,1,B,Overt,4
58,15,0.2882223,2,"[0, 0, 255]",1,1,B,Overt,4
59,15,0.269184,2,"[0, 0, 255]",1,1,B,Overt,4
60,15,0.2546527,0,"[0, 0, 255]",1,1,B,Overt,4
61,15,0.2054892,0,"[0, 0, 255]",1,1,B,Overt,4
62,15,0.2360766,2,"[0, 0, 255]",1,1,B,Overt,4
63,15,0.2370308,0,"[0, 0, 255]",1,1,B,Overt,4
64,20,0.4432958,2,"[0, 0, 255]",1,1,B,Overt,4
65,20,0.3461473,0,"[0, 0, 255]",1,1,B,Overt,4
66,20,0.3765321,2,"[0, 0, 255]",1,1,B,Overt,4
67,20,0.2933396,2,"[0, 0, 255]",1,1,B,Overt,4
68,20,0.220458,0,"[0, 0, 255]",1,1,B,Overt,4
69,20,0.2691081,0,"[0, 0, 255]",1,1,B,Overt,4
70,20,0.147725,0,"[0, 0, 255]",1,1,B,Overt,4
