Trial,Eccentricity (degrees),Reaction Time (s),Direction,Color,Correctness,1/2/3 Colors,Name,Attention,Circle Size (degrees)
1,0,0.2447187,0,"[255, 0, 0]",1,1,B,Covert,4
2,0,0.206978,2,"[255, 0, 0]",1,1,B,Covert,4
3,0,0.1823972,0,"[255, 0, 0]",1,1,B,Covert,4
4,0,0.2408816,0,"[255, 0, 0]",1,1,B,Covert,4
5,0,0.1984617,2,"[255, 0, 0]",1,1,B,Covert,4
6,0,0.1536628,0,"[255, 0, 0]",1,1,B,Covert,4
7,0,0.1983076,0,"[255, 0, 0]",1,1,B,Covert,4
8,0,0.2442987,2,"[255, 0, 0]",1,1,B,Covert,4
9,0,0.2121297,2,"[255, 0, 0]",1,1,B,Covert,4
10,0,0.1809276,0,"[255, 0, 0]",1,1,B,Covert,4
11,5,0.1847097,0,"[255, 0, 0]",1,1,B,Covert,4
12,5,0.270745,0,"[255, 0, 0]",1,1,B,Covert,4
13,5,0.2177672,0,"[255, 0, 0]",1,1,B,Covert,4
14,5,0.2202125,2,"[255, 0, 0]",1,1,B,Covert,4
15,5,0.1987121,0,"[255, 0, 0]",1,1,B,Covert,4
16,5,0.2155849,2,"[255, 0, 0]",1,1,B,Covert,4
17,5,0.2406791,2,"[255, 0, 0]",1,1,B,Covert,4
18,5,0.2132628,2,"[255, 0, 0]",1,1,B,Covert,4
19,5,0.2370637,2,"[255, 0, 0]",1,1,B,Covert,4
20,5,0.1980861,0,"[255, 0, 0]",1,1,B,Covert,4
21,10,0.2766717,0,"[255, 0, 0]",1,1,B,Covert,4
22,10,0.1900565,0,"[255, 0, 0]",1,1,B,Covert,4
23,10,0.1840744,0,"[255, 0, 0]",1,1,B,Covert,4
24,10,0.2283919,2,"[255, 0, 0]",1,1,B,Covert,4
25,10,0.2006368,0,"[255, 0, 0]",1,1,B,Covert,4
26,10,0.2283386,0,"[255, 0, 0]",1,1,B,Covert,4
27,10,0.2655195,2,"[255, 0, 0]",1,1,B,Covert,4
28,10,0.2508256,0,"[255, 0, 0]",1,1,B,Covert,4
29,15,0.2284016,2,"[255, 0, 0]",1,1,B,Covert,4
30,15,0.2508273,0,"[255, 0, 0]",1,1,B,Covert,4
31,15,0.1870653,0,"[255, 0, 0]",1,1,B,Covert,4
32,15,0.2100999,2,"[255, 0, 0]",1,1,B,Covert,4
33,15,0.2463995,2,"[255, 0, 0]",1,1,B,Covert,4
34,15,0.2268804,0,"[255, 0, 0]",1,1,B,Covert,4
35,20,0.2186814,0,"[255, 0, 0]",1,1,B,Covert,4
36,20,0.2886115,2,"[255, 0, 0]",1,1,B,Covert,4
37,20,0.2656915,2,"[255, 0, 0]",1,1,B,Covert,4
38,20,0.2168731,0,"[255, 0, 0]",1,1,B,Covert,4
39,20,0.2588303,0,"[255, 0, 0]",1,1,B,Covert,4
40,20,0.2561299,2,"[255, 0, 0]",1,1,B,Covert,4
41,20,0.1950952,0,"[255, 0, 0]",1,1,B,Covert,4
42,25,0.2062313,0,"[255, 0, 0]",1,1,B,Covert,4
43,25,0.225128,0,"[255, 0, 0]",1,1,B,Covert,4
44,25,0.2145762,0,"[255, 0, 0]",1,1,B,Covert,4
45,25,0.2732896,2,"[255, 0, 0]",1,1,B,Covert,4
46,25,0.2956017,2,"[255, 0, 0]",1,1,B,Covert,4
47,25,0.2343807,0,"[255, 0, 0]",1,1,B,Covert,4
48,25,0.2801115,0,"[255, 0, 0]",1,1,B,Covert,4
49,25,0.2560713,2,"[255, 0, 0]",1,1,B,Covert,4
50,30,0.3219642,0,"[255, 0, 0]",1,1,B,Covert,4
51,30,0.2420144,2,"[255, 0, 0]",1,1,B,Covert,4
52,30,0.2425091,2,"[255, 0, 0]",1,1,B,Covert,4
53,30,0.2583527,0,"[255, 0, 0]",1,1,B,Covert,4
54,30,0.2428858,2,"[255, 0, 0]",1,1,B,Covert,4
55,35,0.2576047,2,"[255, 0, 0]",1,1,B,Covert,4
56,35,0.2579299,0,"[255, 0, 0]",1,1,B,Covert,4
57,35,0.2707775,0,"[255, 0, 0]",1,1,B,Covert,4
58,35,0.2866988,2,"[255, 0, 0]",1,1,B,Covert,4
59,35,0.1980781,2,"[255, 0, 0]",1,1,B,Covert,4
60,35,0.2631035,0,"[255, 0, 0]",1,1,B,Covert,4
61,35,0.2507027,0,"[255, 0, 0]",1,1,B,Covert,4
62,35,0.2607861,2,"[255, 0, 0]",1,1,B,Covert,4
63,35,0.246827,2,"[255, 0, 0]",1,1,B,Covert,4
64,35,0.2632796,2,"[255, 0, 0]",1,1,B,Covert,4
65,40,0.2787411,2,"[255, 0, 0]",1,1,B,Covert,4
66,40,0.246796,2,"[255, 0, 0]",1,1,B,Covert,4
67,40,0.2701459,0,"[255, 0, 0]",1,1,B,Covert,4
68,40,0.3043362,2,"[255, 0, 0]",1,1,B,Covert,4
69,40,0.2686934,2,"[255, 0, 0]",1,1,B,Covert,4
70,40,0.3183397,2,"[255, 0, 0]",1,1,B,Covert,4
71,40,0.2581926,2,"[255, 0, 0]",1,1,B,Covert,4
72,0,0.1457136,0,"[0, 255, 0]",1,2,B,Covert,4
73,0,0.3314338,2,"[255, 255, 0]",1,2,B,Covert,4
74,0,0.4146916,0,"[0, 0, 255]",1,2,B,Covert,4
75,0,0.2853843,2,"[0, 255, 0]",1,2,B,Covert,4
76,0,0.2793326,2,"[0, 255, 0]",1,2,B,Covert,4
77,0,0.3572323,0,"[0, 0, 255]",1,2,B,Covert,4
78,0,0.6930071,0,"[0, 255, 0]",1,2,B,Covert,4
79,0,0.3908971,2,"[255, 255, 0]",1,2,B,Covert,4
80,0,0.2255616,0,"[0, 255, 0]",1,2,B,Covert,4
81,0,0.2905925,0,"[0, 255, 0]",1,2,B,Covert,4
82,0,0.341731,0,"[0, 0, 255]",1,2,B,Covert,4
83,0,0.2616197,0,"[255, 0, 0]",1,2,B,Covert,4
84,0,0.3005039,0,"[255, 0, 0]",1,2,B,Covert,4
85,0,0.3620547,2,"[255, 255, 0]",1,2,B,Covert,4
86,0,0.347882,2,"[0, 255, 0]",1,2,B,Covert,4
87,0,0.3457747,2,"[255, 255, 0]",1,2,B,Covert,4
88,0,0.3588738,0,"[255, 255, 0]",1,2,B,Covert,4
89,0,0.3421255,2,"[0, 255, 0]",1,2,B,Covert,4
90,0,0.3825833,2,"[255, 255, 0]",1,2,B,Covert,4
91,0,0.3522065,0,"[255, 255, 0]",1,2,B,Covert,4
92,0,0.3551128,2,"[0, 0, 255]",1,2,B,Covert,4
93,0,0.3644919,2,"[0, 255, 0]",1,2,B,Covert,4
94,5,0.345811,2,"[255, 0, 0]",1,2,B,Covert,4
95,5,0.2887786,0,"[255, 255, 0]",1,2,B,Covert,4
96,5,0.3894088,0,"[0, 255, 0]",1,2,B,Covert,4
97,5,0.3818543,2,"[0, 255, 0]",1,2,B,Covert,4
98,5,0.3598611,2,"[255, 0, 0]",1,2,B,Covert,4
99,5,0.2956285,0,"[255, 255, 0]",1,2,B,Covert,4
100,5,0.2835006,2,"[255, 0, 0]",1,2,B,Covert,4
101,5,0.3152136,0,"[255, 0, 0]",1,2,B,Covert,4
102,5,0.274746,0,"[255, 0, 0]",1,2,B,Covert,4
103,5,0.2185852,0,"[0, 0, 255]",1,2,B,Covert,4
104,5,0.3172349,0,"[0, 0, 255]",1,2,B,Covert,4
105,5,0.3918146,2,"[0, 0, 255]",1,2,B,Covert,4
