Trial,Eccentricity (degrees),Reaction Time (s),Direction,Color,Correctness,1/2/3 Colors,Name,Attention,Circle Size (degrees)
1,0,0.2208444,2,"[255, 0, 0]",1,1,B,Overt,4
2,0,0.2219179,0,"[255, 0, 0]",1,1,B,Overt,4
3,0,0.2354787,2,"[255, 0, 0]",1,1,B,Overt,4
4,0,0.2300023,0,"[255, 0, 0]",1,1,B,Overt,4
5,0,0.2262592,2,"[255, 0, 0]",1,1,B,Overt,4
6,0,0.2333134,0,"[255, 0, 0]",1,1,B,Overt,4
7,0,0.2295257,0,"[255, 0, 0]",0,1,B,Overt,4
8,0,0.2333161,0,"[255, 0, 0]",1,1,B,Overt,4
9,0,0.2270654,0,"[255, 0, 0]",1,1,B,Overt,4
10,0,0.2153992,0,"[255, 0, 0]",1,1,B,Overt,4
11,0,0.2361464,2,"[255, 0, 0]",1,1,B,Overt,4
12,0,0.2286142,2,"[255, 0, 0]",1,1,B,Overt,4
13,0,0.2155525,2,"[255, 0, 0]",1,1,B,Overt,4
14,0,0.2174223,2,"[255, 0, 0]",1,1,B,Overt,4
15,0,0.2273627,0,"[255, 0, 0]",1,1,B,Overt,4
16,0,0.2187135,0,"[255, 0, 0]",1,1,B,Overt,4
17,5,0.2238673,2,"[255, 0, 0]",1,1,B,Overt,4
18,5,0.2257099,2,"[255, 0, 0]",1,1,B,Overt,4
19,5,0.2280099,0,"[255, 0, 0]",1,1,B,Overt,4
20,5,0.2311258,2,"[255, 0, 0]",1,1,B,Overt,4
21,5,0.2345298,2,"[255, 0, 0]",1,1,B,Overt,4
22,5,0.233993,2,"[255, 0, 0]",1,1,B,Overt,4
23,5,0.2305882,0,"[255, 0, 0]",1,1,B,Overt,4
24,5,0.2425987,0,"[255, 0, 0]",1,1,B,Overt,4
25,5,0.2207839,2,"[255, 0, 0]",1,1,B,Overt,4
26,5,0.2370786,2,"[255, 0, 0]",1,1,B,Overt,4
27,5,0.2258691,2,"[255, 0, 0]",1,1,B,Overt,4
28,5,0.2314745,2,"[255, 0, 0]",1,1,B,Overt,4
29,5,0.2278385,2,"[255, 0, 0]",1,1,B,Overt,4
30,5,0.2347539,2,"[255, 0, 0]",1,1,B,Overt,4
31,5,0.2348769,2,"[255, 0, 0]",1,1,B,Overt,4
32,5,0.2316905,0,"[255, 0, 0]",1,1,B,Overt,4
33,10,0.226916,2,"[255, 0, 0]",1,1,B,Overt,4
34,10,0.2440388,0,"[255, 0, 0]",1,1,B,Overt,4
35,10,0.2499084,0,"[255, 0, 0]",1,1,B,Overt,4
36,10,0.2389568,0,"[255, 0, 0]",1,1,B,Overt,4
37,10,0.223487,0,"[255, 0, 0]",1,1,B,Overt,4
38,10,0.2338994,2,"[255, 0, 0]",1,1,B,Overt,4
39,10,0.2347462,0,"[255, 0, 0]",1,1,B,Overt,4
40,10,0.2427482,2,"[255, 0, 0]",1,1,B,Overt,4
41,10,0.2357991,2,"[255, 0, 0]",1,1,B,Overt,4
42,10,0.2512109,0,"[255, 0, 0]",0,1,B,Overt,4
43,10,0.226894,2,"[255, 0, 0]",1,1,B,Overt,4
44,10,0.2472346,2,"[255, 0, 0]",1,1,B,Overt,4
45,10,0.2345189,2,"[255, 0, 0]",1,1,B,Overt,4
46,10,0.2512677,2,"[255, 0, 0]",1,1,B,Overt,4
47,10,0.2254169,0,"[255, 0, 0]",1,1,B,Overt,4
48,10,0.2324088,2,"[255, 0, 0]",1,1,B,Overt,4
49,15,0.2478645,0,"[255, 0, 0]",1,1,B,Overt,4
50,15,0.2326026,0,"[255, 0, 0]",1,1,B,Overt,4
51,15,0.229647,0,"[255, 0, 0]",1,1,B,Overt,4
52,15,0.2533262,2,"[255, 0, 0]",1,1,B,Overt,4
53,15,0.2432953,2,"[255, 0, 0]",1,1,B,Overt,4
54,15,0.2306492,2,"[255, 0, 0]",1,1,B,Overt,4
55,15,0.2340434,0,"[255, 0, 0]",1,1,B,Overt,4
56,15,0.2457027,0,"[255, 0, 0]",1,1,B,Overt,4
57,15,0.2318567,0,"[255, 0, 0]",1,1,B,Overt,4
58,15,0.2541182,2,"[255, 0, 0]",1,1,B,Overt,4
59,15,0.2531761,2,"[255, 0, 0]",1,1,B,Overt,4
60,15,0.2299622,2,"[255, 0, 0]",1,1,B,Overt,4
61,15,0.2545934,0,"[255, 0, 0]",1,1,B,Overt,4
62,15,0.2470962,0,"[255, 0, 0]",1,1,B,Overt,4
63,15,0.2514212,0,"[255, 0, 0]",1,1,B,Overt,4
64,15,0.2464512,2,"[255, 0, 0]",1,1,B,Overt,4
65,20,0.2440265,2,"[255, 0, 0]",1,1,B,Overt,4
66,20,0.261386,2,"[255, 0, 0]",1,1,B,Overt,4
67,20,0.2476894,2,"[255, 0, 0]",1,1,B,Overt,4
68,20,0.2401365,2,"[255, 0, 0]",1,1,B,Overt,4
